responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
-1,1,6,0,0,4.7124,5.4978,0,2,2,66.98
1,1,5,0,1,3.927,3.927,0,3,2,66.98
1,0,3,0,0,2.3562,2.7489,0,4,2,66.98
1,1,2,0,1,1.5708,1.5708,0,5,2,66.98
1,1,4,0,1,3.1416,3.1416,0,6,2,66.98
1,0,1,0,0,0.7854,1.1781,0,7,2,66.98
-1,1,5,0,0,3.927,2.7489,0,8,2,66.98
1,1,6,0,1,4.7124,4.7124,0,9,2,66.98
1,0,1,0,0,0.7854,0.3927,0,10,2,66.98
1,1,0,0,1,0,0,0,11,2,66.98
-1,1,2,0,0,1.5708,0.7854,0,12,2,66.98
1,1,7,0,1,5.4978,5.4978,0,13,2,66.98
1,1,3,0,1,2.3562,2.3562,0,14,2,66.98
1,0,4,0,0,3.1416,3.5343,0,15,2,66.98
-1,1,1,0,0,0.7854,-0.3927,0,16,2,66.98
1,1,3,0,1,2.3562,2.3562,0,17,2,66.98
1,0,2,0,0,1.5708,1.1781,0,18,2,66.98
1,1,5,0,1,3.927,3.927,0,19,2,66.98
1,1,0,0,1,0,0,0,20,2,66.98
1,0,7,0,0,5.4978,6.2832,0,21,2,66.98
1,1,6,0,1,4.7124,4.7124,0,22,2,66.98
-1,1,4,0,0,3.1416,1.9635,0,23,2,66.98
-1,1,4,0,0,3.1416,4.3197,0,24,2,66.98
1,1,6,0,1,4.7124,4.7124,1,0,0,66.98
-1,1,0,0,0,0,-0.7854,1,1,0,66.98
1,1,3,0,1,2.3562,2.3562,1,2,0,66.98
1,0,4,0,0,3.1416,4.3197,1,3,0,66.98
1,1,5,0,1,3.927,3.927,1,4,0,66.98
-1,1,1,0,0,0.7854,1.5708,1,5,0,66.98
1,1,7,0,1,5.4978,5.4978,1,6,0,66.98
-1,1,2,0,0,1.5708,2.7489,1,7,0,66.98
-1,1,4,0,0,3.1416,3.927,1,8,0,66.98
1,1,3,0,1,2.3562,2.3562,1,9,0,66.98
1,1,6,0,1,4.7124,4.7124,1,10,0,66.98
-1,1,2,0,0,1.5708,0.3927,1,11,0,66.98
1,1,1,0,1,0.7854,0.7854,1,12,0,66.98
1,0,0,0,0,0,-0.3927,1,13,0,66.98
1,1,7,0,1,5.4978,5.4978,1,14,0,66.98
-1,1,5,0,0,3.927,2.7489,1,15,0,66.98
1,1,4,0,1,3.1416,3.1416,1,16,0,66.98
-1,1,1,0,0,0.7854,0,1,17,0,66.98
1,1,5,0,1,3.927,3.927,1,18,0,66.98
-1,1,7,0,0,5.4978,6.6759,1,19,0,66.98
1,0,2,0,0,1.5708,1.9635,1,20,0,66.98
1,1,3,0,1,2.3562,2.3562,1,21,0,66.98
-1,1,6,0,0,4.7124,3.5343,1,22,0,66.98
1,1,0,0,1,0,0,1,23,0,66.98
1,0,5,0,0,3.927,3.5343,1,24,0,66.98
